Number,q1,q2,q3,raceeth,q6,q7,q23,q26,q28
1,5,2,2,7,1.63,54.89,2,2,1
2,4,2,2,8,1.6,53.98,1,2,1
3,4,1,2,8,1.68,43.09,2,2,1
4,4,2,2,5,1.78,68.95,2,2,1
5,5,2,2,6,1.78,58.97,2,2,1
6,4,1,2,5,1.68,74.84,1,1,1
7,5,1,2,5,1.65,61.69,1,1,2
8,4,2,2,5,1.88,77.11,,,
9,4,1,2,5,1.6,52.16,1,1,1
10,5,2,2,7,1.68,51.71,2,2,1
11,5,2,2,5,1.83,90.72,2,2,1
12,4,1,2,5,1.63,72.58,1,2,1
13,6,2,3,5,1.83,63.5,1,2,1
14,4,1,2,7,1.57,61.24,2,1,1
15,4,1,2,7,1.52,45.36,2,2,1
16,4,1,2,7,1.63,57.15,2,1,1
17,5,2,2,7,1.75,86.18,2,2,1
18,4,2,2,5,1.55,40.82,1,2,1
19,5,2,2,5,1.6,49.9,1,1,2
20,4,1,2,5,1.68,70.31,2,2,1
21,7,1,4,7,1.65,58.97,2,2,1
22,5,2,2,5,1.63,61.24,1,2,1
23,5,2,3,7,1.73,60.78,2,2,1
24,6,2,3,1,1.88,97.98,2,2,1
25,7,2,4,5,1.83,154.22,2,2,1
26,6,2,3,5,1.83,61.24,2,2,1
27,5,2,3,,1.83,86.18,2,2,1
28,6,2,3,7,1.88,104.33,2,2,1
29,6,1,3,7,1.65,54.43,2,2,1
30,5,1,3,6,1.73,69.4,2,2,1
31,5,2,3,5,1.88,90.72,2,2,1
32,5,2,3,6,1.7,65.77,2,2,1
33,6,1,3,3,1.65,44.45,1,1,2
34,6,2,3,5,1.73,68.49,1,2,1
35,5,1,3,5,1.7,72.58,1,1,1
36,6,2,3,7,1.7,100.25,2,2,1
37,5,2,3,5,1.7,81.65,2,2,1
38,5,1,3,6,,,2,1,3
39,6,2,3,5,1.8,61.24,2,2,1
40,5,2,3,5,1.75,58.06,2,2,1
41,7,2,4,6,1.7,61.24,2,2,1
42,5,1,3,5,1.6,43.55,2,2,1
43,3,2,1,5,1.75,65.77,2,2,
44,4,2,1,7,,,1,2,
45,3,2,1,7,1.52,44.45,2,2,1
46,4,2,1,5,1.83,102.06,1,1,3
47,3,1,1,6,1.57,52.16,2,2,1
48,3,2,1,5,,,2,2,
49,6,2,3,5,1.68,117.94,2,1,1
50,6,2,4,6,1.83,109.32,2,2,1
51,5,1,3,2,1.6,49.9,2,2,1
52,5,1,3,5,1.6,65.77,2,2,1
53,4,1,1,7,1.68,68.04,2,2,1
54,3,2,1,5,1.68,58.06,2,2,1
55,3,2,1,7,1.63,49.9,2,2,1
56,4,1,1,7,1.6,52.16,2,2,1
57,4,2,1,5,1.55,75.75,1,2,1
58,4,1,1,5,1.7,54.43,2,1,1
59,4,1,1,6,1.68,84.37,2,2,1
60,4,2,1,6,1.6,60.33,2,2,1
61,3,1,1,5,1.73,63.96,2,2,1
62,3,1,1,5,1.73,75.75,2,1,2
63,7,2,4,5,1.9,70.31,2,2,1
64,6,2,4,5,1.8,87.09,2,2,1
65,6,2,4,5,1.75,79.38,2,2,1
